????/s,??????????????????/V,????????/rad,,????????/Hz,????????
0.0381,60.62971006,-0.241117199,,,
0.0382,60.62657076,-0.241836761,,,
0.0383,60.62328999,-0.242595275,,,
0.0384,60.6200401,-0.243385821,,,
0.0385,60.61694649,-0.244167083,,,
0.0386,60.61399751,-0.244884449,,,
0.0387,60.61103504,-0.245502923,,,
0.0388,60.60783838,-0.246028059,,,
0.0389,60.60425083,-0.246501151,,,
0.039,60.60026688,-0.246974176,,,
0.0391,60.59602366,-0.24748346,,,
0.0392,60.59170532,-0.248039141,,,
0.0393,60.58742976,-0.248633205,,,
0.0394,60.58319957,-0.249254619,,,
0.0395,60.5789526,-0.24989687,,,
0.0396,60.57467447,-0.250552784,,,
0.0397,60.57048546,-0.251204792,,,
0.0398,60.56663726,-0.251824092,,,
0.0399,60.56339304,-0.25238428,,,
0.04,60.56088149,-0.252880474,,,
0.0401,60.55901539,-0.253336403,,,
0.0402,60.5575389,-0.253788279,,,
0.0403,60.55618082,-0.254252478,,,
0.0404,60.55481625,-0.254700398,,,
0.0405,60.55352925,-0.255063558,,,
0.0406,60.55253202,-0.25527228,,,
0.0407,60.55199364,-0.255305317,,,
0.0408,60.55189479,-0.255215336,,,
0.0409,60.55201095,-0.25510802,,,
0.041,60.55204013,-0.255084541,,,
0.0411,60.55179124,-0.25518673,,,
0.0412,60.55130267,-0.255387658,,,
0.0413,60.55080366,-0.255640777,,,
0.0414,60.55053649,-0.25595658,,,
0.0415,60.55055625,-0.256449054,,,
0.0416,60.55064726,-0.257307179,,,
0.0417,60.55042404,-0.258695184,,,
0.0418,60.54956366,-0.260638632,,,
0.0419,60.54802552,-0.262972936,,,
0.042,60.5461157,-0.265397708,,,
0.0421,60.54434941,-0.267613157,,,
0.0422,60.54319392,-0.269458807,,,
0.0423,60.54285201,-0.270969024,,,
0.0424,60.54321891,-0.272309907,,,
0.0425,60.5440332,-0.273637873,,,
0.0426,60.54511576,-0.274973241,,,
0.0427,60.54653415,-0.276174948,,,
0.0428,60.54858037,-0.277036306,,,
0.0429,60.55157453,-0.277439211,,,
0.043,60.5556238,-0.277461328,,,
0.0431,60.56049781,-0.277357546,,,
0.0432,60.56570789,-0.277417863,,,
0.0433,60.57074662,-0.277787708,,,
0.0434,60.57534034,-0.278367338,,,
0.0435,60.57955976,-0.278861086,,,
0.0436,60.5837267,-0.278952745,,,
0.0437,60.58817207,-0.278501952,,,
0.0438,60.59301149,-0.277641238,,,
0.0439,60.59806873,-0.27671415,,,
0.044,60.6029871,-0.276093383,,,
0.0441,60.60744713,-0.275991609,,,
0.0442,60.61134688,-0.276379424,,,
0.0443,60.61483301,-0.277053566,,,
0.0444,60.61817321,-0.277801692,,,
0.0445,60.62156315,-0.278550577,,,
0.0446,60.62499731,-0.279399775,,,
0.0447,60.62828394,-0.280521022,,,
0.0448,60.63118579,-0.281993297,,,
0.0449,60.63358796,-0.283686155,,,
0.045,60.63558677,-0.285273196,,,
0.0451,60.63743821,-0.286374416,,,
0.0452,60.6394155,-0.286744658,,,
0.0453,60.6416642,-0.286396619,,,
0.0454,60.64414277,-0.285587963,,,
0.0455,60.64667323,-0.28468593,,,
0.0456,60.64905551,-0.283994962,,,
0.0457,60.65116711,-0.283648316,,,
0.0458,60.652991,-0.283616731,,,
0.0459,60.65457123,-0.283810608,,,
0.046,60.65594325,-0.284196459,,,
0.0461,60.65709477,-0.284846972,,,
0.0462,60.65798073,-0.285894258,,,
0.0463,60.65857143,-0.287422586,,,
0.0464,60.65888957,-0.289376098,,,
0.0465,60.65900472,-0.291545244,,,
0.0466,60.6589902,-0.293643711,,,
0.0467,60.65887705,-0.295430403,,,
0.0468,60.65864065,-0.296804439,,,
0.0469,60.65822793,-0.297820579,,,
0.047,60.65759975,-0.298623845,,,
0.0471,60.65675166,-0.299350691,,,
0.0472,60.6556955,-0.300058879,,,
0.0473,60.65441865,-0.30072258,,,
0.0474,60.65285951,-0.301283784,,,
0.0475,60.65092797,-0.301716582,,,
0.0476,60.64856464,-0.302058254,,,
0.0477,60.64579776,-0.302388986,,,
0.0478,60.64275179,-0.30277922,,,
0.0479,60.63959176,-0.303244381,,,
0.048,60.63643422,-0.303738533,,,
0.0481,60.63328367,-0.304189658,,,
0.0482,60.63004038,-0.30455099,,,
0.0483,60.62657868,-0.304833752,,,
0.0484,60.62284895,-0.305101532,,,
0.0485,60.61892523,-0.305433367,,,
0.0486,60.61497384,-0.305882134,,,
0.0487,60.61115825,-0.306454354,,,
0.0488,60.60754767,-0.307119732,,,
0.0489,60.60409399,-0.307838095,,,
0.049,60.60069385,-0.30858221,,,
0.0491,60.59729029,-0.309342262,,,
0.0492,60.59393758,-0.310114067,,,
0.0493,60.59077598,-0.310885457,,,
0.0494,60.58792696,-0.311634574,,,
0.0495,60.58537974,-0.312341909,,,
0.0496,60.58295184,-0.313005295,,,
0.0497,60.58036062,-0.313644085,,,
0.0498,60.57736704,-0.314287744,,,
0.0499,60.57390025,-0.314957491,,,
0.05,60.57008225,-0.315655811,,,
0.0501,60.56613964,-0.316372113,,,
0.0502,60.56225678,-0.317098741,,,
