1PV_P_Bus1,2PV_P_Bus2,3PV_P_Bus3,1PV_Q_Bus1,2PV_Q_Bus2,3PV_Q_Bus3,1Line_Ps_FB1_TB2,2Line_Ps_FB1_TB3,3Line_Ps_FB2_TB4,4Line_Ps_FB3_TB4,1Line_Qs_FB1_TB2,2Line_Qs_FB1_TB3,3Line_Qs_FB2_TB4,4Line_Qs_FB3_TB4,Vm_Bus1,Vm_Bus2,Vm_Bus3,Vm_Bus4,Va_Bus1,Va_Bus2,Va_Bus3,Va_Bus4,1PV_Pmax_Bus1,2PV_Pmax_Bus2,3PV_Pmax_Bus3,Margin
83.75,157.51,54.466,-122.8,65.667,208.03,-4.1271,57.87,53.213,-5.96,-26.399,-108.52,-14.422,34.002,0.99158,1.0054,1.0274,1.0068,0,-0.00058987,-0.029072,-0.021209,365.09,319.18,357.01,2.5188
270.67,140.11,136.24,-0.53573,263.99,52.814,98.251,116.76,52.538,34.898,-73.137,41.432,80.283,-34.131,1.0027,1.0293,0.97833,0.9959,0,-0.055164,-0.04114,-0.068394,443.45,306.59,315.72,0.94654
167.7,111.56,14.788,159.57,85.516,-89.753,36.899,100.59,49.107,-2.2352,18.248,127.11,50.236,-30.126,1.0251,1.0124,0.97013,0.99005,0,-0.016141,-0.028106,-0.030632,405.94,395.37,222.42,2.4881
56.389,65.97,49.579,-166.67,161.62,80.04,13.094,25.52,20.586,6.7414,-102.33,-69.708,29.658,-22.858,0.97591,1.0262,1.0003,1.0139,0,-0.016916,-0.015046,-0.022151,384.84,393.08,390.37,5.8162
137.86,227.05,113.56,15.34,46.22,204.45,8.2185,81.55,72.827,3.8548,37.213,-44.64,-9.9104,49.219,0.99172,0.97172,1.0023,0.96994,0,-0.00039527,-0.03387,-0.029925,492.37,369.27,233.13,1.2759
144.09,115.76,24.011,-12.865,59.432,96.874,27.591,87.846,47.021,-1.6499,-2.379,-21.255,5.3192,13.554,0.97571,0.97408,0.97711,0.96843,0,-0.014883,-0.035944,-0.033006,377.65,383.16,354.93,2.9239
74.832,64.231,54.444,-4.5443,118.45,-30.088,22.559,32.783,21.043,9.9519,-44.663,36.309,41.521,-32.091,1.0085,1.0284,0.99252,1.0117,0,-0.015314,-0.0094804,-0.019865,379.59,192.85,336.17,3.6798
10.352,223.83,266,-136.75,231.75,183.98,-9.7132,-30.427,44.094,35.878,-89.585,-72.383,43.465,-3.3223,0.9753,1.0216,1.0048,1.0024,0,-0.0041737,0.0060459,-0.017029,209.82,376.06,393.8,0.95778
135.2,82.133,149.4,-92.915,227.65,62.714,62.597,35.423,19.935,38.725,-96.112,-13.951,59.934,-32.596,0.98749,1.0294,0.99008,1.006,0,-0.0406,-0.014541,-0.043448,517.48,337.34,314.75,2.1769
212.74,67.675,177.35,19.659,142.16,94.367,105.1,61.319,17.174,56.016,-15.863,12.153,35.564,1.3843,0.98081,0.97815,0.97149,0.96319,0,-0.056908,-0.02299,-0.060877,458.16,296,277.8,1.2479
68.738,29.468,131.04,196.71,-3.7519,-80.582,47.66,-2.5234,-0.48612,36.961,64.98,122.46,20.683,-7.5689,1.0299,0.99266,0.98479,0.98491,0,-0.017071,0.0099218,-0.01531,337.17,269.79,234.48,2.6812
150.71,116.92,166.83,56.259,32.963,145.88,60.616,46.402,29.9,39.651,45.991,-9.1057,-4.8628,38.604,1.0252,0.99612,1.0251,0.9957,0,-0.025365,-0.017071,-0.036944,553.81,399.51,309.91,1.891
72.568,69.251,63.436,90.947,3.691,-3.649,21.56,30.315,21.08,11.711,37.12,49.14,6.0989,4.2559,1.0149,0.99404,0.99441,0.99017,0,-0.0070517,-0.0075458,-0.014557,274.33,380.84,298.62,3.6424
